experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,0.7744794368743897,0.005407857894897461,0.635256722818928,,,,9,8,,"{'max_depth': 9, 'min_child_weight': 8}",178,10,0.6750541508207026,0.6264736439193792,0.6120360769641002,0.6183778747533848,0.6443418676370729,0.04576692059180731,7.545658380213443e-05,0.02266103048324953
random search for 1 group,0.3449846267700195,0.004835271835327148,0.6524730417535233,,,,4,8,,"{'max_depth': 4, 'min_child_weight': 8}",35,10,0.7067146151144796,0.6347086565259357,0.5708477141001187,0.6740822159904953,0.6760120070365871,0.009651899017505666,0.00013618669588554653,0.046779172877495175
random search for 1 group,0.8780454158782959,0.005574989318847656,0.6314537832939452,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",201,10,0.699797748227383,0.610777301655608,0.5971163865046354,0.6102091190144437,0.6393683610676562,0.03118449266736594,0.0001525795010406099,0.03685497946197997
random search for 1 group,0.503687858581543,0.005097866058349609,0.6474485754399055,,,,6,4,,"{'max_depth': 6, 'min_child_weight': 4}",101,10,0.7346023790738694,0.6248150799140801,0.6127151554419047,0.6092402704216315,0.6558699923480416,0.011363779541285503,0.0001278712434836172,0.04657309503877257
random search for 1 group,0.31646976470947263,0.00491948127746582,0.6505939930587898,,,,3,9,,"{'max_depth': 3, 'min_child_weight': 9}",54,10,0.7041709128219857,0.6355412989753935,0.5598165710175411,0.6847214101184442,0.6687197723605852,0.009006398015157051,0.00016198217921333853,0.050657348437114676
random search for 1 group,0.3507225036621094,0.004978704452514649,0.6436359702507859,,,,4,3,,"{'max_depth': 4, 'min_child_weight': 3}",124,10,0.6938275769897768,0.6322986078474166,0.5622639950426171,0.6584247599535085,0.6713649114206108,0.0070467577640941905,0.0001527812894429373,0.04529179617073415
random search for 1 group,0.45458283424377444,0.005041694641113282,0.657019070702337,,,,6,9,,"{'max_depth': 6, 'min_child_weight': 9}",3,10,0.7014836093509699,0.6518895694025653,0.5886814389823316,0.6807373029123847,0.6623034328634338,0.013788390284417334,4.8461671439459515e-05,0.03811539823362361
random search for 1 group,0.5284251213073731,0.005118274688720703,0.6312042965351058,,,,6,1,,"{'max_depth': 6, 'min_child_weight': 1}",205,10,0.6781255468896761,0.6239661746742327,0.6079173887139948,0.6053591515398546,0.6406532208577704,0.009285998731753703,9.454571047554497e-05,0.026659061909448466
random search for 1 group,0.3432602405548096,0.004950666427612304,0.6568717433459696,,,,4,7,,"{'max_depth': 4, 'min_child_weight': 7}",7,10,0.7084013480693749,0.6349473612078613,0.5663631191971372,0.6957378320128869,0.6789090562425879,0.009327967998747667,0.0002358087077236989,0.0516217119986754
random search for 1 group,0.46320624351501466,0.005009841918945312,0.6476388847901207,,,,6,7,,"{'max_depth': 6, 'min_child_weight': 7}",86,10,0.699406370757079,0.6378901233182898,0.5893328963335072,0.6548855438281411,0.6566794897135867,0.011172681030668485,0.00011305178516493509,0.035521108789203504
random search for 1 group,0.3438145160675049,0.004980325698852539,0.6568717433459696,,,,4,7,,"{'max_depth': 4, 'min_child_weight': 7}",7,10,0.7084013480693749,0.6349473612078613,0.5663631191971372,0.6957378320128869,0.6789090562425879,0.009420194873541853,0.0003728311343697691,0.0516217119986754
random search for 1 group,0.6816009521484375,0.005241107940673828,0.643484098778365,,,,8,6,,"{'max_depth': 8, 'min_child_weight': 6}",134,10,0.6959995288226339,0.6335452090179006,0.6102195060162341,0.6217139167663233,0.6559423332687333,0.038057999961693394,0.00021660578662762445,0.03030621548623321
random search for 1 group,0.31302533149719236,0.0047089576721191405,0.6475807814418817,,,,3,5,,"{'max_depth': 3, 'min_child_weight': 5}",89,10,0.710273189564977,0.6367598872162559,0.5500710045271147,0.6746558613127656,0.6661439645882953,0.009378783482959906,6.0583169599210956e-05,0.054098499240967116
random search for 1 group,0.41167268753051756,0.004999494552612305,0.6405056126148437,,,,5,2,,"{'max_depth': 5, 'min_child_weight': 2}",149,10,0.7066092428485564,0.6283856452346024,0.5866734139006866,0.6303809451657538,0.6504788159246193,0.006915889019596311,0.00015035936071064517,0.039029380812374684
random search for 1 group,0.7380885124206543,0.005322408676147461,0.6370821843331853,,,,9,9,,"{'max_depth': 9, 'min_child_weight': 9}",171,10,0.6781224672044344,0.6277967093619248,0.5895191901367075,0.6411540505239902,0.6488185044388702,0.04075523103722205,0.00013656622870672722,0.028938156763785593
random search for 1 group,0.7667315006256104,0.005236673355102539,0.6340761379959088,,,,8,5,,"{'max_depth': 8, 'min_child_weight': 5}",188,10,0.6751917391883147,0.6127918121564904,0.6100443539496252,0.6173072623544325,0.6550455223306814,0.015861545035784706,6.208291616449631e-05,0.026237195360622734
random search for 1 group,0.38850879669189453,0.004869318008422852,0.657690334493021,,,,5,9,,"{'max_depth': 5, 'min_child_weight': 9}",1,10,0.710637271809118,0.6496578159468517,0.5823513220379177,0.6764954976597148,0.6693097650115029,0.013109536260835957,0.00013677104507002117,0.042502968485411144
random search for 1 group,0.3500353813171387,0.0049210071563720705,0.6466490834757563,,,,4,4,,"{'max_depth': 4, 'min_child_weight': 4}",108,10,0.6982764339366263,0.6312214785967827,0.5751063699708179,0.6496660088745085,0.6789751260000463,0.00747524000013361,0.00028938050103113476,0.04260476270959566
random search for 1 group,0.31716179847717285,0.00495753288269043,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",93,10,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.01064797620755928,0.00014746628363874155,0.0542590143231491
random search for 1 group,0.3146986961364746,0.004665994644165039,0.6474590208487027,,,,3,3,,"{'max_depth': 3, 'min_child_weight': 3}",93,10,0.704132685508851,0.6332856156001344,0.5490708601436938,0.6811237481839766,0.6696821948068575,0.010598444228522174,2.1104340735467893e-05,0.0542590143231491
random search for 1 group,0.4559022426605225,0.004977798461914063,0.6545296415698946,,,,6,8,,"{'max_depth': 6, 'min_child_weight': 8}",13,10,0.7120335418158243,0.6529427809102062,0.5959527593975102,0.6645174000248306,0.6472017257011016,0.014926129832253207,8.026935713930955e-05,0.03713198477113434
random search for 1 group,0.5470053195953369,0.005063581466674805,0.6463990438513192,,,,7,7,,"{'max_depth': 7, 'min_child_weight': 7}",110,10,0.6963285378735586,0.6362153166486636,0.6038753322553434,0.6474785799221014,0.6480974525569292,0.024614071443516773,8.380979746708873e-05,0.02969504575248905
random search for 1 group,0.4011848926544189,0.004852294921875,0.650781333794108,,,,5,5,,"{'max_depth': 5, 'min_child_weight': 5}",48,10,0.7044101922009518,0.6324102959356228,0.6062705916014565,0.6401919989326811,0.6706235902998279,0.011728841635418761,0.00010279496598071307,0.03376567728509559
random search for 1 group,0.31500768661499023,0.004988431930541992,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",153,10,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.00828206692534656,0.0006080712248427361,0.052807713996668705
random search for 1 group,0.3129907131195068,0.004677915573120117,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",153,10,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.008558733340667717,9.558183886978526e-05,0.052807713996668705
random search for 1 group,0.9997642040252686,0.005583000183105469,0.6231022960434798,,,,8,1,,"{'max_depth': 8, 'min_child_weight': 1}",222,10,0.6203922791354726,0.6249708863927723,0.6148369175425581,0.5892545394492246,0.6660568576973711,0.011695843966104033,0.0001655323145093313,0.024778689620884115
random search for 1 group,0.3138915538787842,0.004691886901855469,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",153,10,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.01027116423887236,0.00011631517643256084,0.052807713996668705
random search for 1 group,0.5386626720428467,0.005229330062866211,0.6502157254341994,,,,7,8,,"{'max_depth': 7, 'min_child_weight': 8}",58,10,0.7060232094929373,0.6329650611184205,0.6072640929453329,0.6464226407872394,0.6584036228270664,0.02384689961436757,0.0003382670365131366,0.03267516667016634
random search for 1 group,0.8732406616210937,0.005446147918701172,0.6314537832939452,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",201,10,0.699797748227383,0.610777301655608,0.5971163865046354,0.6102091190144437,0.6393683610676562,0.03411358057862798,2.2243520690562695e-05,0.03685497946197997
random search for 1 group,0.3420383930206299,0.004644870758056641,0.649218409527402,,,,4,9,,"{'max_depth': 4, 'min_child_weight': 9}",70,10,0.7076490539837288,0.6347110150307216,0.555109332444599,0.6764509894968633,0.672171656681097,0.009469516750689716,5.245273763080189e-05,0.052439656869076964
random search for 1 group,0.34699597358703616,0.00484318733215332,0.6531886734771662,,,,4,5,,"{'max_depth': 4, 'min_child_weight': 5}",32,10,0.7062558287830456,0.6350946367583017,0.5804427865892499,0.6704592224090109,0.6736908928462231,0.008524383306766612,0.00027630149633515956,0.04278806856032564
random search for 1 group,0.47937588691711425,0.005043220520019531,0.651248567493622,,,,6,6,,"{'max_depth': 6, 'min_child_weight': 6}",43,10,0.7119416599535915,0.6495334789046434,0.6087412085856239,0.6330143998998825,0.653012090124369,0.011307624125975078,0.0001903532143823243,0.034143999304303986
